number,type,answer_num,description,answers,pic_path,correct,weight,subject,accesebility 
691,5,5,"Соотнесите блоки модели ""песочных часов"" GRID-системы и их названия:",1);Программа;2);Службы высокого уровня;3);Базовые сервисы;4);Службы низкого уровня;5);Локальная операционая система;,Img_4_4.bmp,1122334455,7,17,1
690,2,6,"Какой из указанных компонентов GRID-системы является ""узким местом""?",Программа;Службы высокого уровня;Базовые сервисы;Службы низкого уровня;Локальная операционная система;Аппаратная платформа;,no,1:0;2:0;3:100;4:0;5:0;6:0;,6,17,1
693,2,5,"К какому типу ресурсов GRID-систем относятся оперативная память, память на долговременных носителях, количество и производительность процессоров?",Логические ресурсы;Физические ресурсы;Глобальные ресурсы;Сетевые ресурсы;Резервные ресурсы;,no,1:0;2:100;3:0;4:0;5:0;,8,30,1
694,3,0,"Формальное описание форматов сообщений и набор правил, определяющий обмен сообщениями между узлами вычислительной сети называется ...",PROTOCOL;Protocol;protocol;ПРОТОКОЛ;Протокол;протокол;ПРОТОКОЛОМ;Протоколом;протоколом;,no,0,14,30,1
695,5,4,Соотнесите понятия и определения:,"Сетевой протокол;Описание форматов сообщений и набор правил обмена сообщениями;Синтаксис;Правила, определяющие порядок и форму записи информации в сообщении;Сервис;Сущность, предоставляющая специфическую функциональность;Интерфейс прикладных программ;Набор функций для доступа к ресурсам через обслуживающую ОС;",no,11223344,6,30,1
696,1,6,"Укажите, что относится к сервисам GRID-систем:",Авторизация пользователя;Анонимность выполнения программы;Резервирование ресурсов;Выполнение централизованных сильносвязных алгоритмов;Распределение ресурсов;Доступ исключительно к локальным данным;,no,1;3;5;,8,17,1
697,5,4,Соотнесите названия проколов безопасности GRID-систем и выполняемые ими функции,"Kerberos;Поддержание безопасности системы через установление подлинности;TLS;Установление подлинности, целостности и конфиденциальности сообщения;CMS;Синтаксис, позволяющий подписать, проверить, зашифровать сообщение;GSS-API;Определяет интерфейс прикладных программ;",no,11223344,8,30,1
698,2,4,Как расшифровывается аббревиатура GGF?,Global Gamers Foundation;Global Grid Forum;Global Grid Foundation;Galactic Gamers Forum;,no,1:0;2:100;3:30;4:0;,6,30,1
699,2,6,Какая компания участвовала в представлении системной разработки Open Grid Service Architecture в 2002-ом году?,Cray;HP;IBM;SGI;Intel;AMD;,no,1:0;2:0;3:100;4:0;5:0;6:0;,6,17,1
700,1,4,Особенностями SPARC-архитектуры являются,Отказ от использования стека;Отложенные переходы и аннулирование команд;Регистровые окна;Закрытая архитектура;,no,2;3;,6,25,1
701,3,0,Сколько регистров включает в себя регистровый файл в классической SPARC-архитектуре (введите число)? ,128;,no,0,8,25,1
709,2,4,64х битная архитектура SPARC  была реализована в спецификации ...,SPARC V6;SPARC V7;SPARC V8;SPARC V9;,no,1:0;2:0;3:0;4:100;,8,25,1
710,5,4,"Соотнесите применение процессоров SPARC с семействами, к которым они относятся:","серверы SPARCserver 1000,SPARCcenter 2000;SuperSPARC;серверы SPARCstation/SPARCserver 4 и 5;MicroSPARC;первый ноутбук с архитектурой SPARC;HyperSPARC;первый 64-битный SPARC процессор;UltraSPARC;",no,11223344,8,25,1
711,1,4,В настоящее время разработками в области SPARC-архитектуры занимаются:,"Motorola;Sun;Fujitsu;ЗАО ""МЦСТ"";",no,2;3;4;,8,25,1
710,1,4,Компиляторы каких языков включает в себя система программирования DVM?,Фортран;Паскаль;Ассемблер;Си;,no,1;4;,8,21,1
713,3,0,"Как называется часть PMV-системы, которая обязательно должна иметься на каждом компьютере параллельной виртуальной машины?",DAEMON;DEMON;Demon;Daemon;demon;daemon;демон;демоном;Демон;Демоном;ДЕМОН;ДЕМОНОМ;PVMD;pvmd;PVMD3;pvmd3;,no,0,10,21,1
714,3,0,"Связанный набор полноценных компьютеров, используемый в качестве единого ресурса - это ...",КЛАСТЕР;Кластер;кластер;CLUSTER;Cluster;cluster;,no,0,14,30,1
484,1,5,"Какие модули, как правило, выносятся за пределы блейд-сервера?",Модуль питания;Процессорный модуль;Модуль сетевых подключений;Модуль охлаждения;Модуль оперативной памяти;,no,1;4;,4,9,0
714,3,0,"Основа блейд-системы, обеспечивающая соединение модулей, их централизованное питание и охлаждение, предоставляющая им доступ к общим компонентам - это ... ",КОРЗИНА;Корзина;корзина;ШАССИ;Шасси;шасси;,no,0,8,16,1
717,2,4,Как расшифровывается аббревиатура HPC?,Hewlett-Packard Company;High Perfomance Computing;Hybrid Portable Crystall;Hyper-Parallel Computer;,no,1:0;2:100;3:0;4:0;,7,30,1
716,3,0,"Как называется объединение нескольких каналов Fast Ethernet в один общий скоростной канал, соединяющий несколько коммутаторов?",Транкинг;ТРАНКИНГ;транкинг;ТРАНКИНГОМ;Транкингом;транкингом;TRUNCING;Truncing;truncing;,no,0,8,26,1
719,2,4,Какая фирма анонсировала первую в мире кластерную систему в 1984 году?,Hewlett-Packard;IBM;Digital Equipment;Cray;,no,1:0;2:0;3:100;4:0;,6,16,1
718,2,4,Какой тип шины используются для подключения дискового контроллера в VAX-кластере?,CI;DSSI;NI;DLM;,no,1:0;2:100;3:0;4:0;,8,16,1
719,1,4,Что из нижеперечисленного может быть примерено для повышения производительности сети в кластерной системе?,"Разделение кластера на сегменты, в пределах которых узлы соединяются более скоростной сетью;Транкинг;Применение специальных протоколов;разделение каналов;",no,1;2;3;,8,16,1
720,1,4,Какие процессоры используются в системах серии XT фирмы Cray?,AMD Opteron;Intel Itanium;SPARC;Intel Xeon;,no,1;,7,16,1
492,1,4,"Какие процессоры используются в вычислительных узлах T-Blade2 российского кластера ""Ломоносов""?",Intel Xeon;NVIDIA Tesla;Intel Itanium;AMD Opteron;,no,1;2;,5,16,1
724,3,0,"Понятие ""___ ___"" означает наличие ПО, дающего возможность пользователям, администраторам и прикладным программам считать, что имеется только одна сущность, с которой они работают - кластер.",ЕДИНЫЙ РЕСУРС;Единый ресурс;единый ресурс;единого ресурса;Единого ресурса;ЕДИНОГО РЕСУРСА;,no,0,15,30,1
725,5,4,Сопоставьте типы надежности вычислительных систем со значением уровня готовности:,"Обычная;99,0%;Высокая надежность;99,9%;Отказоустойчивая;99,99%;Безотказная;99,99%;",no,11223344,7,30,1
726,2,4,Какой тип масштабируемости доступен в кластерных системах?,"Вертикальная;Горизонтальная;И вертикальная, и горизонтальная;Кластерные системы не масштабируемы;",no,1:25;2:25;3:100;4:0;,7,16,1
727,3,0,Что обозначено цифрой 1 на общей схеме кластерной системы?,Вычислительный узел;ВЫЧИСЛИТЕЛЬНЫЙ УЗЕЛ;вычислительный узел;ВУ;ву;УЗЕЛ;Узел;узел;,cluster1.bmp,0,13,30,1
728,3,0,"Специализированное здание (площадка), предназначенное для размещения серверного и коммуникационного оборудования, называется ...",DataCenter;Data Center;Data-Center;Data-center;datacenter;data center;data-center;Дата-Центр;дата-центр;Дата-центр;Дата Центр;Дата центр;дата центр;ЦОД;цод;Центр Обработки Данных;Центр обработки данных;центр обработки данных;,no,0,14,30,1
727,1,9,Какие требования предъявляются к центрам обработки данных?,Дублирование каналов связи;Поддержание высокой температуры воздуха;Высокая надежность энергоснабжения;Система порошкового пожаротушения;Фальшполы;Отсутствие фальшполов;Система водяного пожаротушения;Защита от несанкционированного доступа;Уменьшение числа каналов связи;,no,1;3;4;5;8;,12,26,1
521,2,5,Чему равно расстояние между направляющими стандартного телекоммуникационного шкафа?,"15 дюймов;19 дюймов;20 дюймов;13,5 дюймов;53.4 мм;",no,1:0;2:100;3:20;4:0;5:0;,6,10,1
500,2,5,Чему равна высота 1U (юнит)?,"1,35 дюйма;1,25 дюйма;1,50 дюйма;1,75 дюйма;1,85 дюйма;",no,1:0;2:0;3:10;4:100;5:0;,5,1,0
731,3,0,Какими латинскими буквами обозначается защищенность оборудования от пыли и влаги?,IP;Ip;ip;ИП;Ип;ип;,no,0,13,26,1
502,1,8,Какие основные виды телекоммуникационных шкафов существуют?,Настенные;Настольные;Напольные;Стойки;Подвальные;Уличные;Подвесные;Навесные;,no,1;3;4;,5,1,0
503,3,0,"Как называется монтируемый сервер, имеющий тонкую форму и задвигающийся в стойку по полозьям?",BLADE;Blade;blade;БЛЭЙД;БЛЕЙД;Блэйд;блейд;Блейд;блэйд;,no,0,5,16,1
734,4,5,Расположите технологии коммутации узлов ВС в порядке возрастания пиковой пропускной способности:,Fast Ethernet;Gigabit Ethernet;SCI;Fibre Channel;InfiniBand;,no,12345,9,16,1
735,4,4,Укажите этапы проектирования охлаждения ЦОД в порядке их выполнения:,Разработка технического задания;Разработка проектного решения;Выбор концепции кондиционирования;Трехмерное математическое моделирование;,no,1234,6,26,1
506,1,5,Какие основные уровни охлаждения ЦОД существует?,Охлаждение на уровне здания;Охлаждение на уровне зала;Охлаждение на уровне рядов;Охлаждение на уровне отдельной стойки;Охлаждение на уровне отдельных компонентов;,no,2;3;4;,7,1,0
507,2,5,Для какого вида охлаждения ЦОД необходимо наличие фальшпола?,Охлаждение на уровне здания;Охлаждение на уровне зала;Охлаждение на уровне рядов;Охлаждение на уровне отдельной стойки;Охлаждение не уровне отдельных компонентов;,no,1:0;2:100;3:30;4:0;5:0;,4,1,0
508,2,5,Для какого вида охлаждения ЦОД характерны понятия горячего и холодного коридоров?,Охлаждение на уровне здания;Охлаждение на уровне зала;Охлаждение на уровне рядов;Охлаждение на уровне отдельной стойки;Охлаждение не уровне отдельных компонентов;,no,1:0;2:30;3:100;4:0;5:0;,5,1,0
509,1,6,Какие основные средства охлаждения используются?,Воздушное;Водяное;Паровое;Гликолевое;Чилерное;Фреонное;,no,1;2;4;5;,6,1,0
742,1,6,Какие рекомендации по экономичному использованию систем охлаждения можно выделить?,Заделка отверстий в фальшполе;Независимость работы систем кондиционирования;Замедление движения воздуха под фальшполом;Установка температурных датчиков;Разделение движения холодного и горячего воздуха;Увеличение мощности охлаждающих установок;,no,1;4;5;,8,26,1
743,3,0,Как называется технология охлаждения ЦОД с помощью ледяных шариков?,CRYOGEL;Cryogel;cryogel;КРИОГЕЛЬ;Криогель;криогель;,no,0,5,26,1
512,3,0,"Как называется событие, при котором ЭВМ теряет способность выполнять заданные функции по переработке информации?",ОТКАЗ;Отказ;отказ;ОТКАЗОМ;Отказом;отказом;,no,0,5,11,0
513,5,7,Соотнесите виды отказов и их описания:,Внезапный отказ;Скачкообразное изменение параметров;Постепенный отказ;Постепенное изменение параметров;Независимый отказ;Отказ не зависит от отказов других элементов;Зависимый отказ;Отказ зависит от отказов других элементов;Полный отказ;Отказ устраняется только ремонтом;Сбой;Самоустраняющийся отказ;Перемежающийся отказ;Многократный самоустраняющийся отказ;,no,11223344556677,10,11,0
514,5,5,Соотнесите виды состояния системы с их описаниями:,Исправное;Нет ни одной неисправности;Работоспособное;Все функции выполняются;Неисправное;Имеется хотя бы одна неисправность;Отказ;Не выполняется хотя бы одна функция;Предельное;Состояние технической невозможности дальнейшей эксплуатации;,no,1122334455,6,11,0
747,1,7,Укажите основные свойства надежности:,Безотказность;Масштабируемость;Ремонтопригодность;Долговечность;Независимость узлов;Сохраняемость;Отсутствие сложных узлов;,no,1;3;4;6;,8,27,1
746,3,0,"Как называется свойство объекта сохранять во времени в установленных пределах значения всех параметров, характеризующих способность выполнять требуемые функции в заданных режимах и условиях применения, технического обслуживания, ремонтов, хранения и транспортировки?",НАДЕЖНОСТЬ;Надежность;надежность;НАДЁЖНОСТЬ;Надёжность;надёжность;НАДЕЖНОСТЬЮ;НАДЁЖНОСТЬЮ;Надежностью;Надёжностью;надежностью;надёжностью;,no,0,14,27,1
607,2,5,Какая из указанных функций характеризует способность системы приобретать требуемый уровень производительности после отказа всех избыточных машин и части машин основной подсистемы?,Функция надежности;Функция ремонтопригодности;Функция производительности;Функция восстановимости;Функция готовности;,no,1:0;2:50;3:0;4:100;5:0;,6,27,1
750,1,5,Какие требования предъявляются к методике расчета  показателей  качества  работы  вычислительных  систем?,Приемлемость  методики  к  большемасштабным  и  масштабируемым ВС;Сложность численного анализа функционирования ВС;Адекватность  стохастических  моделей  функционирования  ВС  реальному процессу их работы;Возможность выявления общих количественных закономерностей;Разнообразие  методов  и  приёмов  исследования  функционирования  ВС;,no,1;3;4;,6,30,1
519,5,5,Соотнесите блоки модели функционирования ВС со структурной избыточностью и их названия:,1);Вычислительная система;2);Подсистема отказавших ЭМ;3);Реконфигуратор ВС;4);Структурная избыточность;5);Восстанавливающая система;,Img_3_8.bmp,1122334455,8,24,0
520,3,0,"Как называется метод повышения надежности, когда к одному основному устройству добавляется несколько устройств с теми же функциями, которые работают вместе с основным или включаются после его отказа?",РЕЗЕРВИРОВАНИЕ;РЕЗЕРВИРОВАНИЕМ;Резервирование;Резервированием;резервирование;резервированием;РЕЗЕРВ;Резерв;резерв;,no,0,5,27,1
521,5,3,Соотнесите способы включения резервного оборудования и их описания:,"Общее резервирование;Резервирование на уровне всей системы;Раздельное резервирование;Резервирование на уровне части системы;Скользящее резервирование;Все устройства идентичны, любое основное заменяет любое резервное;",no,112233,5,27,1
522,2,6,"Как называется вид резервирования, когда резервные устройства работают вместе с основными?",Общее;Стохастическое;Скользящее;Холодное;Пассивное;Активное;,no,1:0;2:0;3:0;4:0;5:0;6:100;,5,11,0
755,5,6,Соотнесите блоки модели функционирования большемасштабных ВС со структурной избыточностью и их названия:,1);Вычислительная система;2);Восстанавливающая система;3);Подсистема отказавших ЭМ;4);Контролёр ВС;5);Реконфигуратор ВС;6);Резерв;,Img_3_12.bmp,112233445566,9,27,1
756,1,7,Укажите основные характеристики системы контроля:,Вероятность обнаружения ошибки;Время проявления ошибки;Ремонтопригодность;Глубина диагностирования;Время наработки на отказ;Количество контролируемого оборудования;Потребляемая мощность;,no,1;2;4;6;,7,27,1
525,2,7,Как называется способность ВС в любой  момент  функционирования  использовать  суммарную  производительность  всех исправных  ресурсов для  решения  задач?,Надежность;Отказоустойчивость;Ремонтопригодность;Живучесть;Восстанавливаемость;Исправность;Готовность;,no,1:10;2:20;3:0;4:100;5:5;6:10;7:30;,6,11,0
526,5,7,Соотнесите блоки модели функционирования живучей ВС и их названия:,1);Вычислительная система;2);Восстанавливающая система;3);Отказавшие ЭМ;4);Свободные ВУ;5);Реконфигуратор ВС;6);Занятые ВУ;7);Резерв;,Img_3_15.bmp,11223344556677,6,11,0
760,1,8,Какие основные логические функции реализуют вентили ППВМ (FPGA)?,NOT;AND;NAND;ADD;OR;NOR;SUB;XOR;,no,2;3;5;6;8;,6,28,1
761,1,7,Какие главные элементы включают в свой состав ППВМ (FPGA)?,Блоки управления;Программируемые логические блоки;Арифметические блоки;Блоки ввода-вывода;Внутренние связи;Блоки памяти;Генераторы синхросигналов;,no,2;4;5;,6,28,1
762,1,6,Основные особенности компьютера COPACOBANA:,Используется множество FPGA-микросхем;Построен на базе GPU-процессоров;Потребляемая мощность порядка 600 Вт;Потребляемая мощность порядка 2.1 кВт;Применяется для криптоанализа;Применяется для обработки изображений;,no,1;3;5;,8,28,1
763,3,0,"Как называется специализированный настольный суперкомпьютер на базе ППВМ (FPGA), предназначенный для криптоанализа?",COPACOBANA;copacoban;Copacobana;COPOCOBANA;copocobana;Copocobana;,no,0,14,30,1
764,2,4,Какая из перечисленных машин является примером использования ППВМ (FPGA) в помощь основным процессорам?,SGI RASC;COPACOBANA;NVIDIA TESLA;CRAY XT5;,no,1:100;2:0;3:0;4:0;,7,28,1
765,3,0,"Как называется персональный суперкомпьютер компании SGI, построенный на базе 19 микропроцессоров Intel Atom и в конфигурацию которого может входить до 80 процессорных ядер?",Octane III;OCTANE III;Octane 3;OCTANE 3;octane III;octane 3;,no,0,6,28,1
766,2,6,Основоположниками какого поколения GPU стал чип видеокарты NVIDIA GeForce 256?,Первого поколения;Второго поколения;Третьего поколения;Четвертого поколения;Пятого поколения;Шестого поколения;,no,1:40;2:100;3:30;4:0;5:0;6:0;,8,28,1
767,2,5,Представители какого поколения GPU являются полностью программируемыми и начинают использоваться для вычислений общего назначения?,Первого поколения;Второго поколения;Третьего поколения;Четвертого поколения;Пятого поколения;,no,1:0;2:0;3:30;4:100;5:30;,8,28,1
766,3,0,"Как называется программа для GPU, предназначенная для вычисления цвета пикселя на экране?",ШЕЙДЕР;Шейдер;шейдер;Shader;shader;SHADER;,no,0,8,28,1
769,2,5,"Представители какого поколения GPU позволили задавать пользователю алгоритм для вычисления освещенности, преобразования координат и вычисления цвета пикселей?",Второго поколения;Третьего поколения;Четвертого поколения;Пятого поколения;Шестого поколения;,no,1:30;2:100;3:30;4:0;5:0;,8,28,1
770,3,0,"Как называется настольный суперкомпьютер NVIDIA на базе GPU, предназначенный специально для высокопроизводительных вычислений?",тесла;Тесла;ТЕСЛА;ТЭСЛА;Тэсла;тэсла;Tesla;tesla;TESLA;,no,0,10,28,1
538,3,0,"Как называется потоковая библиотека компании NVIDIA, предназначенная для программирования GPU?",CUDA;Cuda;cuda;КУДА;куда;Куда;,no,0,5,24,0
772,1,5,Какие из перечисленных персональных супер-ЭВМ построены на базе GPU?,COPACOBANA;NVIDIA TESLA;SGI OCTANE III;Kraftway Credo Pro KW27;Hewlett Packard Z800;,no,2;4;5;,8,28,1
773,3,0,Какое кодовое название имеет технология CUDA последнего поколения?,Fermi;fermi;FERMI;Ферми;ферми;ФЕРМИ;,no,0,10,28,1
631,2,4,Как часто формируется новый список Топ-500 ?,1 раз в год;2 раза в год;1 раз в квартал;1 раз в месяц;,no,1:0;2:100;3:0;4:0;,5,23,0
632,2,6,Какая фирма лидирует по количестве суперкомпьютеров в списке Топ-500 (июнь 2015)?,INTEL;SGI;AMD;SUN;IBM;HP;,no,1:0;2:0;3:0;4:0;5:0;6:100;,6,23,1
777,1,5,Какие процессоры используются в суперкомпьютере Mira?,Intel Xeon;NVIDIA Tesla;Intel Itanium;AMD Opteron;Power BQC;,no,5;,8,16,1
544,1,5,Какие процессоры используются в суперкомпьютере Tianhe-2?,Intel Xeon;NVIDIA Tesla;Intel Itanium;AMD Opteron;Intel Xeon Phi;,no,1;5;,5,23,0
545,2,7,Какой производитель (фирма) является лидером по количеству суперкомпьютеров в списке Топ-500 (ноябрь 2016)?,IBM;Sun;AMD;HPE;Intel;Lenovo;Cray Inc.;,no,1:0;2:0;3:0;4:100;5:0;6:0;7:0;,6,23,0
782,2,5,Какой производитель суперкомпьютеров является лидером на российском рынке?,IBM;Cray;HP;Dell;T-Platforms;,no,1:0;2:0;3:0;4:0;5:100;,8,30,1
551,2,4,Какой российский суперкомпьютер представлен на фотографии?,СКИФ-Аврора;Ломоносов;MVS-100К;Лобачевский;,top1.bmp,1:0;2:0;3:100;4:0;,8,30,1
786,2,4,Какая фирма является разработчиком роутера SeaStar 2+?,IBM;Cray;HP;NEC;,no,1:0;2:100;3:0;4:0;,7,26,1
553,5,3,Сопоставьте суперкомпьютеры с типом используемых в них процессоров:,Nebulae;Intel Xeon + NVIDIA Tesla;Hopper;12-core AMD;Roadrunner;AMD Opteron + IBM PowerXCell;,no,112233,14,30,1
550,3,0,ВС содержит: 7 процессоров быстродействием по 200 тысяч операций в секунду каждый. Интенсивность входного потока заявок на входе системы - 16 заявок в секунду.  Средняя трудоемкость обслуживания заявки 50 тысяч процессорных операций.  Определить суммарную загрузку системы.,4;,no,0,10,29,0
641,3,0,ВС содержит: 4 процессора быстродействием по 400  тысяч операций в секунду каждый. Интенсивность входного потока заявок на входе системы - 20 заявок в секунду.  Средняя трудоемкость обслуживания заявки 60 тысяч процессорных операций.  Определить суммарную загрузку системы.,3;,no,0,10,29,0
552,3,0,Интенсивность входного потока заявок на входе вычислительной системы - 10 заявок в секунду.  Средняя трудоемкость обслуживания заявки 110 тысяч процессорных операций.  Какое минимальное число процессоров быстродействием по 180 тысяч операций в секунду каждый необходимо ВС для существования стационарного режима?,7;,no,0,10,29,0
553,3,0,Интенсивность входного потока заявок на входе вычислительной системы - 10 заявок в секунду.  Средняя трудоемкость обслуживания заявки 130 тысяч процессорных операций.  Какое минимальное число процессоров быстродействием по 150 тысяч операций в секунду каждый необходимо ВС для существования стационарного режима?,9;,no,0,10,29,0
554,3,0,"ВС содержит: 10 процессоров быстродействием по 260 тысяч операции в секунду каждый.  Какое максимальное количество заявок в секунду сможет обработать ВС, если средняя трудоемкость обслуживания заявки 75 тысяч процессорных операций? Целое число.",34;,no,0,10,29,1
645,3,0,"ВС содержит: 20 процессоров быстродействием по 300 тысяч операции в секунду каждый.  Какое максимальное количество заявок в секунду сможет обработать ВС, если средняя трудоемкость обслуживания заявки 110 тысяч процессорных операций? Целое число.",54;,no,0,10,29,0
556,3,0,"Чему равно время обработки вектора длиной l=64,  если конвейерное устройство содержит n = 8 ступеней, а каждая ступень срабатывает за одну единицу времени?",71;,no,0,6,29,0
557,3,0,"Чему равно время обработки вектора длиной l=16,  если конвейерное устройство содержит n =15 ступеней, а каждая ступень срабатывает за одну единицу времени ?",30;,no,0,6,29,1
558,3,0,Определите диаметр сети с топологией плоской решетки размером 4х4.,6;,no,0,5,19,0
559,3,0,Определите порядок узла сети с топологией плоской решетки размерами 2x2,3;,no,0,5,19,1
560,3,0,Определите порядок узла сети с топологией плоской решетки размерами 50x50,4;,no,0,5,19,1
655,3,0,Определите число связей сети из 8 узлов со стандартной кольцевой топологией ,8;,no,0,10,29,1
562,3,0,Определите число связей сети из 8 узлов с полносвязной топологией ,28;,no,0,5,19,0
802,2,4,Последовательное соединение блоков характерно для:,Однопроцессорной ВС;Многопроцессорной;Дуплексной;Триплексной;,no,1:100;2:0;3:0;4:0;,5,1,1
803,2,4,Приведённой ниже формулой выражается:,"Вероятность, что при n независимых опытах событие А появится не менее k раз;Вероятность, что при n независимых опытах событие А появится ровно k раз;Вероятность, что при n независимых опытах событие А появится больше k раз;Вероятность, что при n независимых опытах событие А появится менее k раз;",вопрос1.bmp,1:100;2:0;3:0;4:0;,5,7,1
565,3,0,"Определить коэффициент готовности G вычислительной системы, содержащей процессор и два блока памяти. Вероятности безотказной работы процессора и блока памяти соответственно 0,8 и 0,6. Для решения задачи в установленное время достаточно одного процессора и одного блока памяти.","0,672;0.672;",no,0,10,29,0
805,1,4,Многопроцессорные вычислительные системы подразделяются на:,Системы с общей памятью;Системы с общей распределенной памятью;Системы с локальной памятью;Системы с индивидуальной памятью;,no,1;3;4;,10,15,1
806,3,0,"Укажите тип многопроцессорной вычислительной системы, структура которой показана на рисунке:",Система с общей памятью;система с общей памятью;С общей памятью;с общей памятью;Общая память;общая память;,вопрос2.bmp,0,15,30,1
807,2,3,Коммутатор К начинает первым обслуживать устройство с:,"Наименьшим приоритетом;Наивысшим приоритетом;Приоритетом, задаваемым программным путем;",no,1:0;2:100;3:0;,5,30,1
569,2,2,"Существует ли стационарный режим в 3-канальной системе, если интенсивность входного потока заявок равна 8 с-1, средняя трудоемкость равна 6000 операций, быстродействие одного процессора составляет 140000 операций/сек?",Да;Нет;,no,1:100;2:0;,10,29,0
596,3,1,"Введите формулу для нахождения среднего числа заявок, пребывающих в системе:",M=I+R;m=l+R;,no,0,8,17,1
597,2,4,Выберите верное утверждение:,стохастическая сеть генерирует и не поглощает заявки;стохастическая сеть не генерирует и поглощает заявки;стохастическая сеть не генерирует и не поглощает заявки;стохастическая сеть генерирует и поглощает заявки;,no,1:0;2:0;3:100;4:0;,10,18,1
598,3,1,Для какой стохастической сети источником заявок можно считать любую СМО сети? ,замкнутой;Замкнутой;Для замкнутой сети;для замкнутой сети;,no,0,10,17,1
811,3,0,"Задана матрица вероятностей передач сети. Рассчитать ""лямбда 2"". ",18;,вопрос3.bmp,0,12,29,1
815,3,1,Введите формулу минимально необходимого быстродействия i-того устройства для СОО с заданным временем пребывания задач:,Vmini=L0*ai*Qi;Vmin=L0*ai*Qi;,no,0,15,30,1
601,2,4,Среднее время пребывания задач может быть уменьшено только за счет:,Увеличения стоимости СОО;Увеличения быстродействия устройств;Уменьшения стоимости СОО;Не может быть уменьшено для конкретной задачи;,no,1:100;2:50;3:0;4:0;,5,17,1
602,1,6,"Укажите параметры, выбор которых составляет основную задачу конструирования ВКС:","Число конвейерных функциональных устройств;Типы операций, которые должны выполнять конвейерные функциональные устройства;Объем обрабатываемых данных;Число ступеней конвейеров;Объем буферизуемых данных между ступенями конвейера;Время прохождения каждой ступени;",no,1;2;4;6;,10,17,1
820,1,6,"Если операнды (результаты) для векторной команды находятся в верхней памяти, то в векторной команде должны быть заданы:","Число элементов;Тип данных;Номера регистров, в которых хранятся адреса операндов;Базовый адрес вектора;Схема хранения вектора в памяти;Еще некоторую информацию, необходимую для организации доступа;",no,1;2;4;5;,10,30,1
820,2,5,"Выражением b= min B(Nl, N2) определяется:",Ширина бисекции;Полоса бисекции;Связность сети;Порядок узла;Диаметр сети;,no,1:0;2:100;3:0;4:0;5:0;,6,19,1
823,3,1,В схемах с каким управлением функции управления распределены по узлам сети? ,децентрализованным;Децентрализованным;децентрализованное управление;Децентрализованное управление;,no,0,15,30,1
822,2,3,На каком рисунке показана кольцевая топология с циклическим сдвигом связей?,а);б);в);,вопрос4.bmp,1:0;2:0;3:100;,5,19,1
823,3,0,Чему равен диаметр вычислительной системы из 32768 узлов при древовидной топологии?,28;,no,0,8,19,1
826,3,0,В какой топологии каждый ряд (или столбец) представляет собой кольцо? ,цилиндра;Цилиндра;цилиндр;Цилиндр;цилиндрическая;Цилиндрическая;цилиндрической;Цилиндрической;,no,0,15,31,1
583,2,5,Приведенная на рисунке топология реализует функцию:,Перестановки;Тасования;Баттерфляй;Реверсирования;Сдвига;,вопрос5.bmp,1:0;2:0;3:100;4:0;5:0;,5,19,0
829,3,0,"Кроссбар, у которого n=m, называется.... ",полный кроссбар;Полный кроссбар;полным;Полным;,no,0,8,20,1
828,2,3,Состояние  элементов третьей ступени сети «Баньян» 8х8 (правый столбец БКЭ) определяется:,старшим битом адреса узла назначения;средним битом адреса узла назначения;младшим битом адреса узла назначения;,no,1:0;2:0;3:100;,5,20,1
612,3,0,Какая фирма первой выпустила коммерчески доступный компьютер с разрядно-параллельной памятью и разрядно-параллельной арифметикой? ,IBM;,no,0,9,17,1
613,2,5,Какая из перечисленных ВС является матричной?,IBM STRETCH;ATLAS;ILLIAC IV;CDC 7600;CRAY 1;,no,1:0;2:0;3:100;4:0;5:0;,5,5,0
833,2,3,На рисунке изображен графический способ представления алгоритмов:,Информационный граф;Ярусно-параллельная форма;Сеть Петри;,вопрос6.bmp,1:0;2:100;3:0;,5,31,1
615,3,0,"Каким отношением связаны операторы M и N, если исходные операнды для каждого из них могут быть получены независимо от результатов выполнения другого оператора?",безразличия;Безразличия;Отношением безразличия;отношением безразличия;,no,0,9,17,1
835,2,2,Какой из механизмов вызова операндов является источником ошибок и ограничивает параллелизм?,Вызов операнда по значению;Вызов операнда по ссылке;,no,1:0;2:100;,5,30,1
617,2,3,"Укажите, какие из перечисленных проблем связаны с запросной моделью вычислений:",Недетерминированное выполнение;Двухпроходной режим реализации информационного графа: запросы – данные;Неограниченный рост числа параллельных процессов;,no,1:0;2:100;3:0;,5,17,1
